,model,kf,MSE
0,RFR,0,9.629314679133763
1,RFR,1,9.026172294543226
2,RFR,2,9.204930676725553
3,RFR,3,9.009070396732117
4,RFR,4,9.156693037494447
5,GradientBoostingR,0,9.644304370718789
6,GradientBoostingR,1,8.979905350546709
7,GradientBoostingR,2,9.20633488326249
8,GradientBoostingR,3,8.971522037321554
9,GradientBoostingR,4,9.167720189572455
10,AdaBoostR,0,11.223723397114652
11,AdaBoostR,1,10.936421736702545
12,AdaBoostR,2,11.091994612853872
13,AdaBoostR,3,10.94031097159697
14,AdaBoostR,4,11.117408398523946
15,XGBoostR,0,9.659939047367859
16,XGBoostR,1,9.000368333501658
17,XGBoostR,2,9.215692831197924
18,XGBoostR,3,9.003711080760498
19,XGBoostR,4,9.204268149809565
